WKT,OBJECTID,COD_ESTACI,COD_PARAME,PromedioDe,valoracion,UTMX,UTMY,HUSO,DEMARCACIO,unidades
"POINT (294335.999964421 4134067.99997684)","2331",GV51400,PO4,0.03050000000,< LQ,"294336","4134068","30",CHGv,mg PO4/l
"POINT (296294.99996043 4112871.99999218)","2332",GV51404,PO4,0.13700000000,< LQ,"296295","4112872","30",CHGv,mg PO4/l
"POINT (307098.999992355 4106339.99996218)","2333",GV51405,PO4,0.21466666667,> LQ y < Valor frontera,"307099","4106340","30",CHGv,mg PO4/l
"POINT (272765.00001505 4149332.99998742)","2334",GV51407,PO4,0.22587500000,> LQ y < Valor frontera,"272765","4149333","30",CHGv,mg PO4/l
"POINT (271837.999992525 4149045.99997741)","2335",GV51408,PO4,3.07350000000,> Valor frontera,"271838","4149046","30",CHGv,mg PO4/l
"POINT (283000.999999738 4104779.00001908)","2336",GV51600,PO4,0.34950000000,> LQ y < Valor frontera,"283001","4104779","30",CHGv,mg PO4/l
"POINT (233573.000050274 4118997.99999007)","2337",GV51701,PO4,1.97750000000,> Valor frontera,"233573","4118998","30",CHGv,mg PO4/l
"POINT (230971.99995874 4100816.00002628)","2338",GV51800,PO4,0.48925000000,> Valor frontera,"230972","4100816","30",CHGv,mg PO4/l
"POINT (251050.999967375 4107140.00004647)","2339",GV51804,PO4,0.03050000000,< LQ,"251051","4107140","30",CHGv,mg PO4/l
"POINT (266221.999957809 4096289.00003246)","2340",GV51805,PO4,1.40000000000,> Valor frontera,"266222","4096289","30",CHGv,mg PO4/l
"POINT (217451.99998455 4089228.00003959)","2341",GV51900,PO4,0.54750000000,> Valor frontera,"217452","4089228","30",CHGv,mg PO4/l
"POINT (206392.000028893 4088714.00002922)","2342",GV51903,PO4,1.79325000000,> Valor frontera,"206392","4088714","30",CHGv,mg PO4/l
"POINT (149020.000042074 4307399.0000094)","2343","400027",PO4,0.36500000000,> LQ y < Valor frontera,"149020","4307399","30",CHGn,mg PO4/l
"POINT (252228.999992828 4289874.00003798)","2344","400061",PO4,0.15625000000,> LQ y < Valor frontera,"252229","4289874","30",CHGn,mg PO4/l
"POINT (192670.999956932 4292245.00002978)","2345","400066",PO4,0.86450000000,> Valor frontera,"192671","4292245","30",CHGn,mg PO4/l
"POINT (169081.000025171 4294571.99996429)","2346","400067",PO4,0.51250000000,> Valor frontera,"169081","4294572","30",CHGn,mg PO4/l
"POINT (126599.999982178 4175302.00001053)","2347","400075",PO4,0.42800000000,> LQ y < Valor frontera,"126600","4175302","30",CHGn,mg PO4/l
"POINT (123047.000047836 4190703.0000225)","2348","400115",PO4,0.10000000000,< LQ,"123047","4190703","30",CHGn,mg PO4/l
"POINT (179530.000038438 4308703.00000542)","2349","400119",PO4,0.32725000000,> LQ y < Valor frontera,"179530","4308703","30",CHGn,mg PO4/l
"POINT (367504.999992519 4293979.99997839)","2350","400120",PO4,0.08262500000,< LQ,"367505","4293980","30",CHGn,mg PO4/l
"POINT (231469.999968201 4254819.99996733)","2351","400122",PO4,1.39333333333,> Valor frontera,"231470","4254820","30",CHGn,mg PO4/l
"POINT (494515.000037761 4354588.00000305)","2352","400150",PO4,7.65000000000,> Valor frontera,"494515","4354588","30",CHGn,mg PO4/l
"POINT (518617.000011077 4371637.00004664)","2353","400151",PO4,0.10000000000,< LQ,"518617","4371637","30",CHGn,mg PO4/l
