WKT,OBJECTID,COD_ESTACI,COD_METRIC,MínDeVALO,UTMX,UTMY,HUSO,NOM_DEMARC
"POINT (196845.917181608 4738286.94098638)","29",NO01260032,IBMWP,>Valor frontera M/B,"687996","4734191","29",CHMS
"POINT (222635.91950373 4745967.88488316)","30",NO01270030,IBMWP,>Valor frontera M/B,"713161","4743681","29",CHMS
"POINT (230120.572682134 4730936.11422243)","31",NO01270031,IBMWP,>Valor frontera M/B,"721692","4729224","29",CHMS
"POINT (125410.193079945 4716333.58598435)","32",NO01550009,IBMWP,>Valor frontera M/B,"618375","4707258","29",CHMS
"POINT (132532.89633585 4719249.88834036)","33",NO01560009,IBMWP,>Valor frontera M/B,"625263","4710666","29",CHMS
"POINT (146638.016942817 4720682.03447131)","34",NO01560011,IBMWP,>Valor frontera M/B,"639212","4713090","29",CHMS
"POINT (134376.069188874 4725058.54443281)","35",NO01560013,IBMWP,<Valor frontera M/B,"626688","4716582","29",CHMS
"POINT (181763.465702819 4717335.62022367)","36",NO01570008,IBMWP,>Valor frontera M/B,"674448","4712240","29",CHMS
"POINT (178963.427129121 4728134.56660238)","37",NO01570010,IBMWP,>Valor frontera M/B,"670893","4722804","29",CHMS
"POINT (167203.58054305 4721711.86540816)","38",NO01570020,IBMWP,>Valor frontera M/B,"659629","4715571","29",CHMS
"POINT (170590.188473632 4717366.93384329)","39",NO01570021,IBMWP,>Valor frontera M/B,"663311","4711481","29",CHMS
"POINT (177779.988264156 4731162.83590985)","40",NO01570022,IBMWP,>Valor frontera M/B,"669499","4725738","29",CHMS
"POINT (176744.723932462 4726100.75636074)","41",NO01570023 ,IBMWP,>Valor frontera M/B,"668826","4720620","29",CHMS
"POINT (204685.792147813 4716318.8850783)","42",NO01580003,IBMWP,<Valor frontera M/B,"697368","4712848","29",CHMS
"POINT (186987.398253701 4713919.80474745)","43",NO01580007,IBMWP,<Valor frontera M/B,"679896","4709205","29",CHMS
"POINT (187133.49092209 4724669.11395589)","44",NO01580011,IBMWP,>Valor frontera M/B,"679281","4719929","29",CHMS
"POINT (190849.385410644 4717671.02997505)","45",NO01580024,IBMWP,<Valor frontera M/B,"683480","4713217","29",CHMS
"POINT (207118.426934967 4716645.79170647)","46",NO01580025,IBMWP,<Valor frontera M/B,"699770","4713346","29",CHMS
"POINT (196555.416141345 4724544.36733768)","47",NO01580027,IBMWP,<Valor frontera M/B,"688681","4720472","29",CHMS
"POINT (202036.844521775 4714089.29672454)","48",NO01580028,IBMWP,>Valor frontera M/B,"694885","4710438","29",CHMS
"POINT (189905.216001003 4716256.18384136)","49",NO01580030,IBMWP,<Valor frontera M/B,"682639","4711740","29",CHMS
"POINT (190374.550123149 4715899.82362498)","50",NO01580031,IBMWP,<Valor frontera M/B,"683132","4711418","29",CHMS
"POINT (193821.289660897 4719850.83109238)","51",NO01580032,IBMWP,<Valor frontera M/B,"686288","4715600","29",CHMS
"POINT (221379.413277996 4722301.11307384)","52",NO01580040,IBMWP,>Valor frontera M/B,"713588","4719994","29",CHMS
"POINT (228093.304704327 4720898.53740292)","53",NO01590001,IBMWP,<Valor frontera M/B,"720382","4719071","29",CHMS
"POINT (219460.493571143 4723510.58398593)","54",NO01590005,IBMWP,>Valor frontera M/B,"711589","4721064","29",CHMS
"POINT (211485.608055554 4721969.88935079)","55",NO01590012,IBMWP,>Valor frontera M/B,"703747","4718963","29",CHMS
"POINT (220419.092397547 4724283.92666206)","56",NO01590013,IBMWP,>Valor frontera M/B,"712490","4721903","29",CHMS
"POINT (68663.5276514604 4704179.82107817)","57",NO01860002,IBMWP,>Valor frontera M/B,"562735","4691154","29",CHMS
"POINT (68307.1964156472 4714183.30806866)","58",NO01860003,IBMWP,>Valor frontera M/B,"561675","4701085","29",CHMS
"POINT (98542.6493301513 4699556.19723309)","59",NO01870003,IBMWP,<Valor frontera M/B,"592804","4688656","29",CHMS
"POINT (74131.0222114504 4711142.09584819)","60",NO01870014,IBMWP,>Valor frontera M/B,"567686","4698469","29",CHMS
"POINT (78575.4290608172 4705168.02629831)","61",NO01870015,IBMWP,>Valor frontera M/B,"572531","4692836","29",CHMS
"POINT (76661.5288863447 4706515.14223271)","62",NO01870018,IBMWP,>Valor frontera M/B,"570531","4694042","29",CHMS
"POINT (87861.8942761061 4701097.24807413)","63",NO01870030,IBMWP,<Valor frontera M/B,"582062","4689438","29",CHMS
"POINT (122412.433300816 4713692.58470193)","64",NO01880001,IBMWP,>Valor frontera M/B,"615576","4704416","29",CHMS
"POINT (126068.48041989 4712236.50075329)","65",NO01880011,IBMWP,>Valor frontera M/B,"619320","4703224","29",CHMS
"POINT (121295.92986312 4714231.64255925)","66",NO01880015,IBMWP,<Valor frontera M/B,"614426","4704874","29",CHMS
"POINT (123454.663140786 4715348.73443583)","67",NO01880022,IBMWP,>Valor frontera M/B,"616497","4706139","29",CHMS
"POINT (119466.451262378 4711725.5135493)","68",NO01880030 ,IBMWP,>Valor frontera M/B,"612781","4702249","29",CHMS
"POINT (148902.523118087 4694737.23612511)","69",NO01890005,IBMWP,>Valor frontera M/B,"643299","4687403","29",CHMS
"POINT (137374.889003063 4699569.73297773)","70",NO01890006,IBMWP,>Valor frontera M/B,"631475","4691405","29",CHMS
"POINT (146678.53447755 4697426.00065518)","71",NO01890016,IBMWP,<Valor frontera M/B,"640894","4689925","29",CHMS
"POINT (129609.920776718 4700870.04554174)","72",NO01890017,IBMWP,>Valor frontera M/B,"623649","4692153","29",CHMS
"POINT (155056.530387019 4701948.37856077)","73",NO01890032 ,IBMWP,>Valor frontera M/B,"648922","4695021","29",CHMS
"POINT (178194.068912924 4702750.30386095)","74",NO01900002,IBMWP,<Valor frontera M/B,"671921","4697452","29",CHMS
"POINT (177663.157631645 4699473.59064706)","75",NO01900003,IBMWP,<Valor frontera M/B,"671623","4694149","29",CHMS
"POINT (179833.48706377 4708627.55193605)","76",NO01900013,IBMWP,>Valor frontera M/B,"673140","4703425","29",CHMS
"POINT (166447.57025522 4705759.60483241)","77",NO01900015,IBMWP,>Valor frontera M/B,"660003","4699622","29",CHMS
"POINT (174654.292621413 4705731.30402972)","78",NO01900016,IBMWP,>Valor frontera M/B,"668183","4700173","29",CHMS
"POINT (171091.886266501 4704441.22980929)","79",NO01900017,IBMWP,>Valor frontera M/B,"664724","4698636","29",CHMS
"POINT (168521.460649834 4705980.02052932)","80",NO01900019,IBMWP,>Valor frontera M/B,"662054","4699988","29",CHMS
"POINT (169935.069238517 4694969.70430717)","81",NO01900021,IBMWP,>Valor frontera M/B,"664239","4689116","29",CHMS
"POINT (160065.520319964 4695729.66309295)","82",NO01900022,IBMWP,>Valor frontera M/B,"654351","4689178","29",CHMS
"POINT (186958.884342342 4708776.80678005)","83",NO01910004,IBMWP,<Valor frontera M/B,"680231","4704077","29",CHMS
"POINT (186076.64715139 4702992.96208042)","84",NO01910006,IBMWP,>Valor frontera M/B,"679760","4698250","29",CHMS
"POINT (197456.506280609 4695776.05117813)","85",NO01910016,IBMWP,>Valor frontera M/B,"691612","4691859","29",CHMS
"POINT (184787.458947244 4695179.988325)","86",NO01910020,IBMWP,<Valor frontera M/B,"679026","4690372","29",CHMS
"POINT (190457.285218514 4711422.33696986)","87",NO01910030,IBMWP,>Valor frontera M/B,"683531","4706961","29",CHMS
"POINT (203179.674011023 4695765.58814759)","88",NO01910031,IBMWP,>Valor frontera M/B,"697318","4692252","29",CHMS
"POINT (211141.747746008 4696287.83668505)","89",NO01920010,IBMWP,>Valor frontera M/B,"705219","4693334","29",CHMS
"POINT (37682.6776714449 4688786.57113782)","90",NO02230005,IBMWP,>Valor frontera M/B,"532989","4673657","29",CHMS
"POINT (61565.3848521168 4695524.24056047)","91",NO02240011,IBMWP,>Valor frontera M/B,"556280","4682040","29",CHMS
"POINT (81772.4808596902 4688178.21111456)","92",NO02250011,IBMWP,>Valor frontera M/B,"576909","4676149","29",CHMS
"POINT (76122.7246529632 4695576.42537142)","93",NO02250016,IBMWP,>Valor frontera M/B,"570765","4683116","29",CHMS
"POINT (75702.1156355907 4682546.71655706)","94",NO02250017,IBMWP,>Valor frontera M/B,"571262","4670117","29",CHMS
"POINT (85039.4067184016 4685390.05661335)","95",NO02250018,IBMWP,>Valor frontera M/B,"580357","4673603","29",CHMS
"POINT (73199.9391622114 4690994.6897655)","96",NO02250020,IBMWP,>Valor frontera M/B,"568178","4678350","29",CHMS
"POINT (74213.9726971648 4693388.53582437)","97",NO02250021,IBMWP,>Valor frontera M/B,"569019","4680804","29",CHMS
"POINT (88026.2238339881 4697924.43061346)","98",NO02250022,IBMWP,>Valor frontera M/B,"582449","4686291","29",CHMS
"POINT (129354.132908389 4689908.3830015)","99",NO02270003,IBMWP,>Valor frontera M/B,"624166","4681217","29",CHMS
"POINT (152871.489087902 4694924.42820075)","100",NO02270005,IBMWP,<Valor frontera M/B,"647240","4687869","29",CHMS
"POINT (150268.415079793 4693200.31520814)","101",NO02270011,IBMWP,>Valor frontera M/B,"644768","4685968","29",CHMS
"POINT (153987.122683577 4687643.03812165)","102",NO02270012,IBMWP,>Valor frontera M/B,"648864","4680693","29",CHMS
"POINT (141915.690243738 4694434.05551753)","103",NO02270020,IBMWP,>Valor frontera M/B,"636360","4686609","29",CHMS
"POINT (174528.702707296 4685177.4679678)","104",NO02280005,IBMWP,>Valor frontera M/B,"669506","4679681","29",CHMS
"POINT (167742.438775881 4682820.46649449)","105",NO02280010,IBMWP,>Valor frontera M/B,"662909","4676855","29",CHMS
"POINT (159911.179106344 4691444.04600401)","106",NO02280011,IBMWP,>Valor frontera M/B,"654499","4684897","29",CHMS
"POINT (171972.502330462 4683877.75360656)","107",NO02280012,IBMWP,>Valor frontera M/B,"667050","4678206","29",CHMS
"POINT (170807.246018898 4686135.52736652)","108",NO02280014,IBMWP,>Valor frontera M/B,"665730","4680374","29",CHMS
"POINT (200772.90811036 4685268.53008329)","109",NO02290010 ,IBMWP,>Valor frontera M/B,"695658","4681618","29",CHMS
"POINT (206749.622147516 4686182.73956462)","110",NO02290011,IBMWP,>Valor frontera M/B,"701552","4682950","29",CHMS
"POINT (212346.26238633 4690610.98604127)","111",NO02300001,IBMWP,>Valor frontera M/B,"706820","4687759","29",CHMS
"POINT (76225.2140572033 4689674.92008125)","112",NO02550004,IBMWP,>Valor frontera M/B,"571282","4677249","29",CHMS
"POINT (33640.7155183143 4672556.20278882)","113",NO02610001,IBMWP,>Valor frontera M/B,"530106","4657226","29",CHMS
"POINT (154432.677922344 4676228.83553877)","114",NO02610013,IBMWP,>Valor frontera M/B,"650110","4669352","29",CHMS
"POINT (40942.3974746318 4673193.00720474)","115",NO02610016,IBMWP,>Valor frontera M/B,"537326","4658371","29",CHMS
"POINT (35122.8434400389 4681167.38591261)","116",NO02610018,IBMWP,>Valor frontera M/B,"530977","4665897","29",CHMS
"POINT (28534.9168015511 4666477.28148814)","117",NO02610019,IBMWP,>Valor frontera M/B,"525452","4650821","29",CHMS
"POINT (45216.5341611925 4673217.71928894)","118",NO02620002,IBMWP,<Valor frontera M/B,"541577","4658695","29",CHMS
"POINT (44605.416578814 4676056.69963693)","119",NO02620004,IBMWP,>Valor frontera M/B,"540770","4661477","29",CHMS
"POINT (62193.6518407883 4676702.92126834)","120",NO02620005,IBMWP,>Valor frontera M/B,"558227","4663353","29",CHMS
"POINT (67050.2874482532 4679277.55801913)","121",NO02620011,IBMWP,>Valor frontera M/B,"562880","4666256","29",CHMS
"POINT (48682.1048467047 4682023.47458799)","122",NO02620012,IBMWP,>Valor frontera M/B,"544408","4667700","29",CHMS
"POINT (54186.9779883052 4674220.15172486)","123",NO02620013,IBMWP,>Valor frontera M/B,"550433","4660321","29",CHMS
"POINT (47936.1777692613 4673747.81747005)","124",NO02620021,IBMWP,>Valor frontera M/B,"544246","4659413","29",CHMS
"POINT (44385.2752141909 4680691.28818209)","125",NO02620022,IBMWP,>Valor frontera M/B,"540226","4666073","29",CHMS
"POINT (95639.9534173353 4663675.4858216)","126",NO02630002,IBMWP,>Valor frontera M/B,"592433","4652728","29",CHMS
"POINT (98501.7469889971 4671576.40725899)","127",NO02630009,IBMWP,>Valor frontera M/B,"594729","4660795","29",CHMS
"POINT (112253.708811093 4664275.094097)","128",NO02640002,IBMWP,<Valor frontera M/B,"608934","4654488","29",CHMS
"POINT (112505.50008834 4667056.0300629)","129",NO02640003,IBMWP,<Valor frontera M/B,"608990","4657275","29",CHMS
"POINT (106305.201355166 4670206.65957811)","130",NO02640004,IBMWP,<Valor frontera M/B,"602595","4659978","29",CHMS
"POINT (98907.0696330902 4664774.57534662)","131",NO02640005,IBMWP,>Valor frontera M/B,"595609","4654051","29",CHMS
"POINT (102244.910042857 4667808.90666573)","132",NO02640006,IBMWP,<Valor frontera M/B,"598720","4657306","29",CHMS
"POINT (153226.616403534 4674082.61544791)","133",NO02650002,IBMWP,>Valor frontera M/B,"649059","4667129","29",CHMS
"POINT (126489.498578285 4674787.29613077)","134",NO02650003,IBMWP,>Valor frontera M/B,"622375","4665955","29",CHMS
"POINT (140412.959614321 4667285.71350414)","135",NO02650008,IBMWP,>Valor frontera M/B,"636770","4659459","29",CHMS
"POINT (163662.656762691 4674771.65878944)","136",NO02660002,IBMWP,>Valor frontera M/B,"659409","4668548","29",CHMS
"POINT (154178.13848063 4671374.9313191)","137",NO02660007,IBMWP,>Valor frontera M/B,"650197","4664498","29",CHMS
"POINT (157876.478976642 4670204.28333728)","138",NO02660010,IBMWP,>Valor frontera M/B,"653964","4663591","29",CHMS
"POINT (25728.4519506541 4665106.46550208)","139",NO02990005,IBMWP,>Valor frontera M/B,"522756","4649261","29",CHMS
"POINT (74485.0806440384 4654880.24825786)","140",NO03010007,IBMWP,>Valor frontera M/B,"571988","4642493","29",CHMS
"POINT (79336.8678171978 4651208.59444628)","141",NO03010016,IBMWP,>Valor frontera M/B,"577074","4639177","29",CHMS
"POINT (76042.2276115987 4647030.46188068)","142",NO03010018,IBMWP,>Valor frontera M/B,"574086","4634788","29",CHMS
"POINT (80733.8737754871 4656171.54914712)","143",NO03010019,IBMWP,>Valor frontera M/B,"578118","4644215","29",CHMS
"POINT (85969.0999869564 4654148.65094386)","144",NO03010020,IBMWP,>Valor frontera M/B,"583471","4642567","29",CHMS
"POINT (108935.047945398 4659333.68916831)","145",NO03020001,IBMWP,>Valor frontera M/B,"605975","4649335","29",CHMS
"POINT (102053.765911935 4652679.5459066)","146",NO03020002,IBMWP,>Valor frontera M/B,"599588","4642228","29",CHMS
"POINT (51981.4892741833 4710331.29024915)","147",14.RW.01.040,METI,>Valor frontera M/B,"545700","4696100","29",GC
"POINT (51285.812808766 4703345.83436926)","148",14.RW.01.080,METI,>Valor frontera M/B,"545500","4689100","29",GC
"POINT (42250.359924795 4703482.80360952)","149",14.RW.01.100,METI,>Valor frontera M/B,"536500","4688600","29",GC
"POINT (42393.7529278272 4702668.59948504)","150",14.RW.01.110,METI,>Valor frontera M/B,"536700","4687800","29",GC
"POINT (24107.1324998122 4688482.38054056)","151",14.RW.01.140,METI,<Valor frontera M/B,"519505","4672401","29",GC
"POINT (37043.599329732 4732095.98696171)","152",14.RW.04.050,METI,>Valor frontera M/B,"529300","4716700","29",GC
"POINT (26366.6225024003 4723305.18349347)","153",14.RW.04.090,METI,<Valor frontera M/B,"519300","4707200","29",GC
"POINT (89898.6824040214 4757469.24850881)","154",14.RW.05.090,METI,>Valor frontera M/B,"580100","4745700","29",GC
"POINT (89413.2364722867 4756298.46666101)","155",14.RW.05.110,METI,>Valor frontera M/B,"579700","4744500","29",GC
"POINT (39290.6459652747 4746345.86254427)","156",14.RW.05.310,METI,>Valor frontera M/B,"530526","4731036","29",GC
"POINT (38568.5190997567 4760533.94666124)","157",14.RW.05.330,METI,<Valor frontera M/B,"528800","4745100","29",GC
"POINT (36640.3042492128 4747604.33564699)","158",14.RW.05.380,METI,<Valor frontera M/B,"527800","4732100","29",GC
"POINT (38417.8026654404 4757186.44912331)","159",14.RW.05.SCH,METI,<Valor frontera M/B,"528888","4741759","29",GC
"POINT (53552.9135994671 4790812.1243822)","160",14.RW.06.100,METI,>Valor frontera M/B,"541550","4776293","29",GC
"POINT (54071.5398626073 4772891.88389391)","161",14.RW.06.115,METI,>Valor frontera M/B,"543345","4758499","29",GC
"POINT (40391.2784897051 4771962.92217777)","162",14.RW.06.180,METI,>Valor frontera M/B,"529800","4756600","29",GC
"POINT (17374.3917208776 4779040.66685693)","163",14.RW.07.020,METI,>Valor frontera M/B,"506400","4762000","29",GC
"POINT (4092.61205679004 4785925.99965557)","164",14.RW.08.010,METI,>Valor frontera M/B,"492700","4767900","29",GC
"POINT (347.299168411118 4784183.51927732)","165",14.RW.08.020,METI,>Valor frontera M/B,"489100","4765900","29",GC
"POINT (-7819.53398388432 4780053.5934828)","166",14.RW.08.030,METI,>Valor frontera M/B,"481274","4761211","29",GC
"POINT (13629.0373818612 4795497.62986961)","167",14.RW.09.010,METI,>Valor frontera M/B,"501500","4778100","29",GC
"POINT (3181.15826905781 4794237.51960227)","168",14.RW.09.030,METI,>Valor frontera M/B,"491200","4776100","29",GC
"POINT (35250.4585800475 4799773.87324617)","169",14.RW.10.040,METI,<Valor frontera M/B,"522700","4783900","29",GC
"POINT (22128.4582006947 4803231.47174586)","170",14.RW.10.070,METI,>Valor frontera M/B,"509400","4786400","29",GC
"POINT (66668.6062910085 4806336.74829776)","171",14.RW.11.040,METI,<Valor frontera M/B,"553490","4792680","29",GC
"POINT (65410.0936736338 4808256.28703028)","172",14.RW.11.070,METI,<Valor frontera M/B,"552100","4794500","29",GC
"POINT (49770.3142459902 4809480.6495301)","173",14.RW.11.080,METI,<Valor frontera M/B,"536450","4794597","29",GC
"POINT (77753.4355251397 4803850.48008402)","174",14.RW.12.090,METI,>Valor frontera M/B,"564700","4791000","29",GC
"POINT (106563.115604825 4821663.77577938)","175",14.RW.13.030,METI,>Valor frontera M/B,"592100","4810800","29",GC
"POINT (86688.9521659784 4820486.97518905)","176",14.RW.13.050,METI,>Valor frontera M/B,"572400","4808200","29",GC
"POINT (92176.1372148595 4839561.79922672)","177",14.RW.14.030,METI,>Valor frontera M/B,"576489","4827582","29",GC
"POINT (89783.2606174574 4832720.81263939)","178",14.RW.14.040,METI,>Valor frontera M/B,"574600","4820600","29",GC
"POINT (84228.5892257321 4832318.90683454)","179",14.RW.14.060,METI,>Valor frontera M/B,"569100","4819800","29",GC
"POINT (109376.508080759 4846025.9431392)","180",14.RW.15.040,METI,>Valor frontera M/B,"593146","4835258","29",GC
"POINT (104434.863392967 4836683.21077614)","181",14.RW.15.050,METI,<Valor frontera M/B,"588900","4825600","29",GC
"POINT (103949.524599674 4843850.00796107)","182",14.RW.15.060,METI,<Valor frontera M/B,"587900","4832700","29",GC
"POINT (116158.374758322 4833524.67486638)","183",14.RW.16.030,METI,>Valor frontera M/B,"600800","4823300","29",GC
"POINT (120233.890523111 4848193.35547063)","184",14.RW.16.040,METI,>Valor frontera M/B,"603800","4838200","29",GC
"POINT (151776.028758176 4823130.81016234)","185",D_0213,METI,<Valor frontera M/B,"637021","4815513","29",GC
"POINT (145304.522362966 4829974.40842933)","186",D_0218,METI,<Valor frontera M/B,"630082","4821864","29",GC
"POINT (20964.2556219816 4779356.38748865)","187",D_0333,METI,>Valor frontera M/B,"509948","4762570","29",GC
"POINT (52910.3703501103 4784004.04430941)","188",D_0335,METI,>Valor frontera M/B,"541397","4769473","29",GC
"POINT (51310.1641255291 4774216.28684509)","189",D_0336,METI,>Valor frontera M/B,"540503","4759620","29",GC
"POINT (21608.2107449907 4800626.70285313)","190",D_0390,METI,<Valor frontera M/B,"509069","4783772","29",GC
"POINT (80013.2580153127 4830449.58291664)","191",D_0393,METI,<Valor frontera M/B,"565039","4817636","29",GC
"POINT (65023.5037946316 4768713.15949776)","192",D_0406,METI,>Valor frontera M/B,"554541","4755121","29",GC
"POINT (114131.953547641 4847919.84974033)","193",D_0411,METI,>Valor frontera M/B,"597744","4837487","29",GC
"POINT (63558.9986785416 4809217.69883811)","194",D_0502,METI,<Valor frontera M/B,"550189","4795324","29",GC
"POINT (36775.0327992033 4724470.83966122)","195",D_0535,METI,<Valor frontera M/B,"529572","4709095","29",GC
"POINT (8510.9862547362 4777764.58235754)","196",D_0592,METI,<Valor frontera M/B,"497676","4760099","29",GC
"POINT (7981.67733607173 4772748.61965025)","197",D_0604,METI,>Valor frontera M/B,"497507","4755073","29",GC
"POINT (32083.3501660982 4798634.54077837)","198",D_0634,METI,<Valor frontera M/B,"519631","4782540","29",GC
"POINT (21163.0294441249 4680849.78034594)","199",D_0645,METI,>Valor frontera M/B,"517112","4664602","29",GC
"POINT (11784.4310893636 4737301.30831471)","200",D_0651,METI,>Valor frontera M/B,"503806","4720090","29",GC
"POINT (27831.3619850628 4731735.52925171)","201",D_1006,METI,<Valor frontera M/B,"520161","4715690","29",GC
"POINT (47333.8530596822 4752015.82008579)","202",D_1012,METI,<Valor frontera M/B,"538126","4737248","29",GC
"POINT (40062.0020152684 4755274.71536618)","203",D_1013,METI,<Valor frontera M/B,"530660","4739974","29",GC
"POINT (34964.3253269147 4799289.82399819)","204",D_1026,METI,<Valor frontera M/B,"522450","4783398","29",GC
"POINT (83699.5127712767 4839306.66717354)","205",D_1027,METI,>Valor frontera M/B,"568070","4826717","29",GC
"POINT (97454.1849531374 4844577.96429772)","206",D_1028,METI,>Valor frontera M/B,"581381","4832956","29",GC
"POINT (107749.006036757 4834223.8724347)","207",D_1029,METI,>Valor frontera M/B,"592377","4823390","29",GC
"POINT (60438.5214495429 4812438.41461327)","208",D_1031,METI,<Valor frontera M/B,"546853","4798305","29",GC
"POINT (8559.42690963449 4798843.58903076)","209",D_1049,METI,>Valor frontera M/B,"496219","4781065","29",GC
"POINT (38750.3850359519 4798236.01911469)","210",D_1101,METI,>Valor frontera M/B,"526292","4782621","29",GC
"POINT (92432.8540044675 4793756.35481795)","211",D_1114,METI,>Valor frontera M/B,"580034","4782004","29",GC
"POINT (78421.4082217234 4736058.77455039)","212",D_1602,METI,<Valor frontera M/B,"570195","4723573","29",GC
"POINT (46161.9071643702 4749958.66244346)","213",D_1603,METI,<Valor frontera M/B,"537106","4735118","29",GC
"POINT (44770.9998588137 4761304.83644153)","214",D_1604,METI,>Valor frontera M/B,"534916","4746308","29",GC
"POINT (8410.94392897311 4793505.67385475)","215",D_1605,METI,<Valor frontera M/B,"496453","4775746","29",GC
"POINT (154041.098521505 4832342.12555658)","216",D_1607,METI,>Valor frontera M/B,"638614","4824852","29",GC
"POINT (36200.0671536471 4711635.59832619)","217",D_1609,METI,<Valor frontera M/B,"529906","4696285","29",GC
"POINT (68524.2380811493 4758467.78640432)","218",D_1610,METI,<Valor frontera M/B,"558754","4745174","29",GC
"POINT (68226.3251097043 4746691.68954306)","219",D_1611,METI,>Valor frontera M/B,"559294","4733433","29",GC
"POINT (48546.7493192949 4749773.45386429)","220",D_1613,METI,>Valor frontera M/B,"539492","4735103","29",GC
"POINT (35047.8923780127 4751054.15571063)","221",D_1614,METI,<Valor frontera M/B,"525971","4735419","29",GC
"POINT (9134.88723838102 4798707.67386747)","222",D_1615,METI,>Valor frontera M/B,"496801","4780971","29",GC
"POINT (1616.4120289759 4793664.13697737)","223",D_1616,METI,>Valor frontera M/B,"489685","4775418","29",GC
"POINT (43424.9181298086 4798211.83274298)","224",D_1617,METI,>Valor frontera M/B,"530944","4782931","29",GC
"POINT (43422.6401721366 4798082.33289569)","225",D_1618,METI,>Valor frontera M/B,"530951","4782802","29",GC
"POINT (90060.9905277472 4843604.90217317)","226",D_1619,METI,>Valor frontera M/B,"574092","4831454","29",GC
"POINT (114289.608821498 4842288.17114356)","227",D_205,METI,>Valor frontera M/B,"598307","4831891","29",GC
"POINT (81588.8818103617 4825922.57129393)","228",D_215,METI,>Valor frontera M/B,"566933","4813244","29",GC
"POINT (22014.2141005807 4744546.8397496)","229",D_230,METI,>Valor frontera M/B,"513467","4728021","29",GC
"POINT (20557.8859180784 4752086.13838435)","230",D_251,METI,>Valor frontera M/B,"511484","4735417","29",GC
"POINT (68127.7648221237 4749560.38760811)","231",D_261,METI,>Valor frontera M/B,"558992","4736281","29",GC
