Node,Status
"(802792.6305, 4728387.7046)",0
"(800680.2428, 4729925.226)",0
"(799892.8128, 4728950.2742)",0
"(799855.3359, 4727612.8128)",0
"(800955.2647, 4727637.7786)",0
"(799942.8025, 4729387.7606)",0
"(801992.7229, 4726387.7777)",0
"(800377.9678, 4729067.9182)",0
"(800630.2567, 4729325.2433)",0
"(800501.4492, 4728336.5585)",0
"(800630.2593, 4729175.2473)",0
"(800756.3802, 4728120.7362)",0
"(800805.2567, 4728650.2563)",0
"(803888.434, 4737633.596)",0
"(804254.7963, 4738274.8737)",0
"(806694.6407, 4734895.1204)",0
"(806542.2841, 4733987.5446)",0
"(806554.7216, 4736149.9625)",0
"(802641.062, 4734934.106)",0
"(804129.8741, 4734749.9745)",0
"(804999.3206, 4734048.085)",0
"(804029.8922, 4734299.9903)",0
"(805549.104, 4733072.7012)",0
"(803929.905, 4734024.9994)",0
"(802627.2083, 4734018.3055)",0
"(803879.9141, 4733800.0073)",0
"(807399.3415, 4739983.3777)",0
"(807779.6064, 4739699.8748)",0
"(807507.5645, 4740932.6224)",0
"(808054.5861, 4740349.866)",0
"(808976.9387, 4740718.1937)",0
"(808629.5555, 4740849.8728)",0
"(809383.1991, 4741072.5241)",0
"(808754.5466, 4741099.8704)",0
"(809116.616, 4742387.0331)",0
"(809404.5007, 4742274.8623)",0
"(809372.8172, 4742647.1582)",0
"(809454.4977, 4742324.8628)",0
"(811688.8739, 4743370.0241)",0
"(811704.3927, 4742874.9341)",0
"(812352.8083, 4743769.5681)",0
"(812354.3636, 4742949.9588)",0
"(814107.059, 4744070.3068)",0
"(813841.7823, 4744812.5052)",0
"(813704.3009, 4743325.0142)",0
"(815541.7073, 4745062.5742)",0
"(814749.9316, 4744661.0834)",0
"(814929.246, 4743600.0661)",0
"(815926.7105, 4742869.7358)",0
"(815629.2357, 4742375.1272)",0
"(816395.0139, 4741335.9751)",0
"(816279.238, 4740812.7046)",0
"(816429.2107, 4741900.1794)",0
"(818154.1345, 4742362.7194)",0
"(817869.3426, 4741432.886)",0
"(816704.2056, 4741550.2033)",0
"(809720.2358, 4738911.1753)",0
"(808979.5863, 4738024.9641)",0
"(810656.2951, 4738078.358)",0
"(809879.566, 4737275.0149)",0
"(812567.7862, 4736521.0053)",0
"(813341.9596, 4736362.6641)",0
"(811704.5074, 4736950.0833)",0
"(813941.913, 4737075.1868)",0
"(812516.8894, 4741325.0063)",0
"(816491.7536, 4739525.2536)",0
"(812079.4577, 4738812.549)",0
"(814479.3411, 4739512.6507)",0
"(813067.8899, 4737204.3533)",0
"(812004.4891, 4737350.0831)",0
"(813010.9787, 4739805.1547)",0
"(812679.4517, 4737900.098)",0
"(815926.7819, 4739272.6527)",0
"(815354.3166, 4738825.2149)",0
