Node,Status
"(666800.1539, 4260000.6471)",0
"(667952.0893, 4263654.6085)",0
"(670260.6401, 4263817.2624)",0
"(700324.1979, 4223348.4671)",0
"(705976.6885, 4220604.5071)",0
"(690226.8215, 4236191.9487)",0
"(686664.3384, 4238004.4469)",0
"(681914.3037, 4232679.573)",0
"(682851.841, 4236942.0571)",0
"(691351.8385, 4237791.9511)",0
"(690226.8571, 4239841.9468)",0
"(693389.3749, 4239591.9769)",0
"(690001.851, 4239316.9365)",0
"(680491.5568, 4220809.981)",0
"(682176.7154, 4217479.6442)",0
"(659714.468, 4236929.7913)",0
"(664664.4338, 4240129.6871)",0
"(666639.4419, 4242104.6393)",0
"(674826.9175, 4243904.5983)",0
"(677401.7385, 4219692.1602)",0
"(676026.7358, 4218742.1776)",0
"(675851.9965, 4218643.9633)",0
"(674789.2352, 4218129.6936)",0
"(673014.408, 4231367.1579)",0
"(671464.4144, 4231054.6939)",0
"(672464.4111, 4231329.67)",0
"(673039.4083, 4231392.1572)",0
"(674751.8971, 4232467.1363)",0
"(675139.3915, 4233392.1292)",0
"(677689.3704, 4235829.5921)",0
"(677564.3734, 4236054.5913)",0
"(675676.7476, 4219917.1747)",0
"(673314.4202, 4232304.6474)",0
"(674389.4026, 4235754.6235)",0
"(674714.4037, 4239179.6059)",0
"(674199.1605, 4214285.863)",0
"(676301.7038, 4215229.6923)",0
"(660039.2031, 4209442.396)",0
"(662689.2499, 4214092.405)",0
"(663514.2428, 4213379.9053)",0
"(664464.2669, 4215679.904)",0
"(665376.7623, 4214942.3967)",0
"(663276.7512, 4214217.4055)",0
"(663414.2727, 4216379.9059)",0
"(676477.5837, 4204939.8009)",0
"(674251.6844, 4211529.7487)",0
"(640296.1136, 4186632.1451)",0
"(637013.8437, 4181404.9699)",0
"(643551.4997, 4191404.8849)",0
"(620288.7898, 4159442.4825)",0
"(614426.4774, 4183704.9101)",0
"(590976.429, 4184979.7706)",0
"(660689.0381, 4194579.8719)",0
"(635689.0237, 4196367.3704)",0
"(649051.5124, 4188667.3997)",0
"(641926.5096, 4194604.8569)",0
"(649563.9952, 4185267.4221)",0
"(644176.4055, 4176492.4788)",0
