"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"2.6666666666666665","0.5601596250617724","0.375","0.0","4","2","1","false","(804617.5966, 4735537.1765)","10.5","1","0","false","0","(804617.5966, 4735537.1765)","210834"
"3.2222222222222223","0.6247828004527316","0.3103448275862069","0.0","5","17","16","false","(803804.8131, 4738749.8599)","2.0","1","0","false","0","(803804.8131, 4738749.8599)","235617"
"2.5","0.17057138757963983","0.4","0.0","4","2","1","false","(811142.7336, 4742870.0358)","8.5","1","0","false","0","(811142.7336, 4742870.0358)","64200"
"3.0","0.20949460920022744","0.3333333333333333","0.0","5","15","14","false","(807254.6496, 4738449.9049)","2.0","1","0","false","0","(807254.6496, 4738449.9049)","78850"
"2.6666666666666665","0.029007763389322552","0.375","0.0","4","2","1","false","(817442.5354, 4732796.4754)","7.0","1","0","false","0","(817442.5354, 4732796.4754)","10918"
"3.2222222222222223","0.03240590676493563","0.3103448275862069","0.0","5","6","5","false","(816879.3352, 4734725.3725)","2.0","1","0","false","0","(816879.3352, 4734725.3725)","14563"
"2.9","0.005898262934996891","0.3448275862068966","0.0","5","2","1","false","(818041.897, 4727388.0295)","5.0","1","0","false","0","(818041.897, 4727388.0295)","2664"
"2.9","0.005685712919321328","0.3448275862068966","0.0","5","2","1","false","(813554.8225, 4724862.702)","5.0","1","0","false","0","(813554.8225, 4724862.702)","2568"
"2.9","0.005473162903645764","0.3448275862068966","0.0","5","2","1","false","(815217.1097, 4727287.8336)","5.0","1","0","false","0","(815217.1097, 4727287.8336)","2472"
"2.9","0.0052606128879702","0.3448275862068966","0.0","5","2","1","false","(815592.0075, 4730450.349)","5.0","1","0","false","0","(815592.0075, 4730450.349)","2376"
